id,title,owner_org,maintainer,Extensão geográfica,Série histórica,groups,Tipo de armazenamento,Formato do arquivo,Sistema Gerenciador de Banco de Dados,Ambiente de produção,name,notes,tags,Histórico,Procedência de dados,Periodicidade,Situação do processo,Nível de desagregação,Lacunas identificadas pela unidade produtora,Tipo(s) de representação,Escala (apenas  para representação vetorial ou matricial),Sistemas de referência / projeção cartográfica,Base cartográfica utilizada,Extensão do arquivo/formato/software,"Existe(m), nesta base de dados, informação(ões) classificada(s) em algum grau de sigilo?",Forma(s) de disponibilização,url,Endereço e procedimentos para acesso,,,,,,
302,CADCET - Customização do CAD,CET,SET,Município,2007,"transporte, mobilidade e trânsito",Banco de dados,0,DWF,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
303,BAC - Boletim de Atividades de Campo,CET,GCO,Município,2002,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows,,,,,,,,,,,,,,,,,,,,,,,,
305,CP - Controle de Projetos Antigos,CET,SSI,Município,1994,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
307,CS -Controle de Solicitações,CET,DAM,Município,1994,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
308,DEFIS - Autorização para deficientes físicos,CET,DSV-AE,Município,2001,"transporte, mobilidade e trânsito",Banco de dados,0,Microsoft Access,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
309,DET CURSOS - Controle e Cursos e Palestras para Condutores,CET,DET,Município,2004,"transporte, mobilidade e trânsito",Banco de dados,0,Microsoft Access,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
310,DET ATENDE - Controle de Atividades de Educação de Trânsito,CET,CET,Município,2004,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
311,DOMO - Dogueiros Motorizados,CET,DSV-AE,Município,2003,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
312,DSV Volume,CET,GPL,Município,2010,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows,,,,,,,,,,,,,,,,,,,,,,,,
313,DSV Velocidade,CET,GPL,Município,1993,"transporte, mobilidade e trânsito",Banco de dados,0,DBF,DOS, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
314,e-AIT Auto de Infração Eletrônico,CET,DO,Município,2012,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows,,,,,,,,,,,,,,,,,,,,,,,,
315,GP – Gestão de Projetos de Sinalização Viária,CET,Superintendência de Engenharia de Sinalização,Município,1996,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
316,GP Segurança,CET,Gerência de Educação de Trânsito,Município,2010,"transporte, mobilidade e trânsito",Banco de dados,0,0,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
317,Interlagos,CET,Gerência de Marketing e Comunicação,Município,2001,"transporte, mobilidade e trânsito",Banco de dados,0,Microsoft Access,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
318,LOGRADS - Cadastro de Logradouros de São Paulo,CET,Gerência da Central de Operações / Departamento de Atendimento ao Munícipe,Município,1992,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
319,MONITRANS - Monitoramento do Trânsito,CET,Gerência da Central de Operações,Município,1996,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windown,MONITRANS - Monitoramento do Trânsito,Mapa com Registro da extensão Lentidão do Sistema Viario Principal,Mapa de Fluidez,Registro dos indices de lentidão em banco de dados.,cadastro ou registro administrativo,contínuo,ativo,Município,0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS SQL Server,NÃO,"Mídia digital (CD, DVD, pendrive)",http://www.cetsp.com.br/transito-agora/mapa-de-fluidez.aspx,site externo ou mecanismos instituidos de acesso a Lei da imprensa,,,,,,
320,SAT – Acidentes de Trânsito,CET,Gerência de Segurança no Trânsito,Município,1992,"transporte, mobilidade e trânsito",Banco de dados,0,DBF,Windows,SAT – Acidentes de Trânsito,"O banco de dados de Acidentes de Trânsito com Vítimas, conhecido como SAT (Sistema de Acidentes de Trânsito), reúne dados dos acidentes ocorridos no município de São Paulo. Nele estão contidas as informações sobre o endereço, data, hora e dia da semana em que ocorreu o acidente, tipo de veículos envolvidos, tipo de usuários, número de vítimas feridas e mortas.",acidentes; vítimas,"Armazena informações de acidentes de trânsito com vítimas, úteis ao desenvolvimento de estudos do tipo “antes – depois” e a elaboração de projetos que precisem de dados de acidentes de trânsito para, por exemplo, definir prioridades de implantação e prazos de execução. Os dados estão disponíveis desde 2005.",Boletins de Ocorrência da Polícia Civil - Secretaria de Segurança Pública - SP,mensal,ativo,Logradouro,Software está defasado (utiliza plataforma DOS). Entrada dos dados no sistema carece de validaçoes para filtrar determinados tipos de erros de digitação. Não permite que a entrada de dados de um determinado mês ocorra em mais de uma máquina ao mesmo tempo.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não sei,DBF,NÃO,Rede local,off-line,off-line,,,,,,
321,SAT REDE – Acidentes de Trânsito,CET,Gerência de Segurança no Trânsito,Município,1994,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows,SAT REDE – Acidentes de Trânsito,Sistema utilizado para realizar pesquisas ao Banco de Dados de Acidentes de Trânsito com Vítimas - SAT,acidentes; vítimas,Sistema  desenvolvido pela GIN para atender a demanda de pesquisas de acidentes de trânsito com vítimas por logradouro/cruzamento. Os dados abrangem o período de 2005 aos dias atuais.,SAT,Consulta on-line. (Rede interna).,ativo,Logradouro,"As pesquisas estão limitadas a acidentes por logradouro/cruzamento, com filtro de data/hora e tipo de acidente.","alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS SQL Server,NÃO,"Intranet, Internet",http://cetintranet/aplicanet/sat/Sat_0.asp,http://cetintranet/aplicanet/sat/Sat_0.asp,,,,,,
322,SMEE - Sistema de Manutenção de Equipamentos Eletro-Eletrônicos,CET,Superintendência de Engenharia de Sinalização,Município,2003,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
323,TOPO - Cálculo de topônimos,CET,Superintendência de Engenharia de Sinalização,Município,1991,"transporte, mobilidade e trânsito",Banco de dados,0,DBF,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
324,BI SAT,CET,Gerência de Segurança de Trânsito,Município,2011,"transporte, mobilidade e trânsito",Banco de dados,0,SQL BIDS,Windows,BI SAT,Recurso do programa Excel – tabela dinâmica/cubo para consulta ao Banco de Dados de Acidentes de Trânsito com Vítimas - SAT,acidentes; vítimas,Ferramenta de pesquisa desenvolvido pela GIN para atender a demanda de pesquisas detalhadas de acidentes de trânsito com vítimas. Os dados abrangem o período de 2005 aos dias atuais.,SAT,O acesso é on-line (rede interna).,ativo,Logradouro,Ainda falta disponibilizar o detalhamento dos acidentes por tipo de vítima.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não sei,Não sei,XLS,NÃO,Rede local,http://cetintranet/gst/bisat/index.html,http://cetintranet/gst/bisat/index.html,,,,,,
325,BI SAIT,CET,Gerência de Tecnologia e Gestão da Informação,Município,2009,"transporte, mobilidade e trânsito",Banco de dados,0,SQL BIDS,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
326,BI SMEE,CET,-,Município,2013,"transporte, mobilidade e trânsito",Banco de dados,0,SQL BIDS,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
327,CL – Cadastro de Lombadas,CET,Superintendência de Engenharia de Tráfego,Município,2009,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
328,Espaço Desempenho Corporativo – Sistema de Disponibilização de Informações Corporativas,CET,Gerência de Gestão Estratégica,Município,2012,"transporte, mobilidade e trânsito",Banco de dados,0,Microsoft Access,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
329,GeoSampa Mapa em Rede,CET,Superintendência de Engenharia de Tráfego,Município,1999,"transporte, mobilidade e trânsito",Banco de dados,0,MapInfo,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
330,Gráfico de Lentidão,CET,Gerência da Central de Operações,Município,2010,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows,Gráfico de Lentidão,Grafico comparativo historico do comportamento da Extensão da Lentidão e tendência do sistema viario monitorado,Grafico de Lentidão,Fornecer subsidio a analise comportamental do trânsito na cidade,cadastro ou registro administrativo,contínuo,ativo,Município,0,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS SQL Server,NÃO,"Mídia digital (CD, DVD, pendrive)",http://www.cetsp.com.br/transito-agora/mapa-de-fluidez.aspx,site externo ou mecanismos instituidos de acesso a Lei da imprensa,,,,,,
331,EAD – Ensino à Distância,CET,Gerência de Educação de Trânsito,Município,2010,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
332,Prêmio CET,CET,Gerência de Educação de Trânsito,Município,2010,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
333,ICAD – Sistema de Despacho de Atendimentos Operacionais,CET,Gerência da Central de Operações,Município,2005,"transporte, mobilidade e trânsito",Banco de dados,0,Oracle 11G,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
334,I/CAD - CallTaker,CET,Gerência da Central de Operações,Município,2009,"transporte, mobilidade e trânsito",Banco de dados,0,Oracle 11G,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
335,Sophia – Biblioteca,CET,Núcleo da Gestão do Conhecimento e da Documentação Técnica,Município,2011,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows,Sophia – Biblioteca,"Software de gerenciamento do acervo da Biblioteca da CET, especializada em Trânsito e Transportes.","Sophia, software, biblioteca, pesquisa, reservas, emprestimos, circulação","Entrou em operação em a partir de Junho de 2011, oferecendo pesquisa de títulos, reservas, sugestão de compra de novos livros, seleção de leituras, empréstimos e cobrança destes.","Migrados de software criado na CET, o FoxPro, e do cadastro de novos títulos.",diário,ativo,Município,"Períodos de atualização, em que o software fica fora do ar por uma hora, em média semestralmente.","alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,MS SQL Server,NÃO,Intranet,http://cetintranet/biblioteca/index.asp,"Av. Marquês de S. Vicente, 2154, Barra Funda. biblioteca@cetsp.com.br .",,,,,,
336,Guinchamentos (Terceirizadas),CET,Gerência da Central de Operações,Município,2007,"transporte, mobilidade e trânsito",Banco de dados,0,SQL Server 2008,Windows, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
337,Gestão de Obras e Eventos,CET,Gerência de Gestão de Eventos e Comercialização,Município,2013,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
338,Atividades de Educação de Trânsito,CET,Gerência de Educação de Trânsito,Município,2010,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel,Atividades de Educação de Trânsito,"Arquivo eletrônico contendo dados quantitativos de todas as instituições e atividades educativas de trânsito realizadas - a nível presencial e a distância - dirigidas a todos os públicos atendidos: estudantes (infantil, fundamental, médio e superior), professores/educadores, condutores (motoristas, motocilcistas, taxistas, motofretistas e ciclistas), campanhas educativas (Programa de Porteção ao Pedestre), redes sociais e Prêmio CET de Educação de Trânsito.","instituições, atividades educativas, estudantes, condutores, professores, educadores, campanhas educativas, redes sociais, prêmio CET.","Formatação atual adotada desde do ano de 2010, abrangendo os dados quantitativos envolvendo demandas da gestão,  da imprensa e do público em geral.",Dados informados por todos os departamentos constituintes de Gerência de Educação de Trânsito,mensal,ativo,Município,Atualização mensal realizada até a segunda semana do mês subsequente.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Intranet,htpp:// intranet /,"Acessar no site da CET: www.cetsp.com.br, no menu Educação que contem todos os telefones e e-mails de contato dos departamentos responsáveis pelas diferentes atividades de trânsito fornecidas.",,,,,,
339,Proteção ao Pedestre,CET,Gerência de Educação de Trânsito,Município,2010,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
340,Vagas de Zona Azul,CET,Gerência de Estacionamento,Município,2008 a 2014,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,,,,,,
341,Produtos Perigosos,CET,Gerência de Engenharia de Tráfego - Marginais Bandeirantes,Município,2003 a 2013,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel,Produtos Perigosos,Relatório de Fiscalização do Transporte de Produtos Perigosos,Fiscalização de PP,Criado em 2007 vem auxiliando de forma corretiva esse segmento de transporte.,relatório,mensal,ativo,Município,não cria lacuna é ciência exata,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,WORD,NÃO,"Mídia digital (CD, DVD, pendrive)",gerência/departamento,dte@cetsp.com.br,,,,,,
342,Cargas Superdimensionadas,CET,Gerência de Engenharia de Tráfego - Marginais Bandeirantes,Município,2003 a 2013,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel,Cargas Superdimensionadas,Relatório de Emissão de Autorizações Especiais de Trânsito,Autorização Especial de Trânsito (AET),Criado em 2000 serve de ferramenta de controle gerencial.,relatório,mensal,ativo,Município,não cria lacuna é ciência exata,"alfanumérica (textos, números - p.ex. tabelas)",0,Não sei,Não sei,XLS,NÃO,"Mídia digital (CD, DVD, pendrive)",gerência/departamento,dte@cetsp.com.br,,,,,,
343,Cadastro de Pequenas Obras,CET,Gerência de Projetos Viários,Município,2009 até hoje,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel,Cadastro de Intervenções Geométricas,"PLANILHA DE CONTROLE DO DESENVOLVIMENTO DE PROJETOS DA GPV,  PARA EXECUÇÃO DE PEQUENAS OBRAS DE GEOMETRIA PARA MELHORIA DO DESEMPENHO DO TRANSPORTE PÚBLICO.",PEQUENAS OBRAS ou INTERVENÇÕES GEOMÉTRICAS,PROCESSO DE CONTROLE INTERNO DO DESENVOLVIMENTO DOS PROJETOS E DA EVOLUÇÃO DAS OBRAS,relatório,semanal,ativo,Logradouro,"MARÇO/13 A OUTUBRO/13, PROGRAMA ALTEROU OBJETIVO E DESCRIÇÃO, PASSANDO DE PONTOS CRÍTICOS PARA INTERVENÇÕES GEOMÉTRICAS PARA MELHORIA DO TRANSPORTE PÚBLICO.","alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Impresso,\\Cet-28772\servidor dgp,"USO EXCLUSIVO DA EQUIPE SOLICITAR, INFORMAÇÃO VIA FONE",,,,,,
344,Faixas de Ônibus à Direita,CET,Gerência de Projetos Viários,Município,desde 2013,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel,FAIXAS EXCLUSIVAS DE ÔNIBUS,"Planilha de controle de extensão em quilômetros de faixas exclusivas, sinalizadas e com tratamento prioritário para o transporte coletivo, atendendo a Meta de Governo numero 96 da Prefeitura Municipal de São Paulo para os anos de 2013 até 2016. O objetivo é de melhorar a mobilidade urbana universal, dando prioridade aos meios públicos de transporte",faixa exclusiva; ônibus,""" A Secretaria Municipal de Transportes-SMT é a Responsável pela atendimento da """"meta 96"""" através da CET. que implanta as faixas exclusivas dentro do programa 
""""Operação Dá Licença para o Ônibus"""" . Atualização da Extensão de faixas exclusivas conforme entregas de vias sinalizadas pelam CET.""",Planilha de controle de entregas por extensão de faixas exclusivas para ônibus.,semanal,ativo,Logradouro,"01/JANEIRO/2013 até 19/02FEVEREIRO/2013, onde estavam sendo elaboradas a listagem de vias para atender a implantação  que teve seu ínicio em 20/FEVEREIRO/2014e  16/DEZEMBRO/2013 até 06/JANEIRO/2014, período de recesso das empreiteiras.","alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,0,Impresso,DIP ou gpv/dps (mivro Cet-28518),Uso Exclusivo da àrea de Projetos. Solicitar informações através do DIP ou DP/SPP/GPV.,,,,,,
345,PGT - Polos Geradores de Tráfego,CET,Gerência de Estudos Especiais de Impacto no Sistema Viário,Município,2013,"transporte, mobilidade e trânsito",Arquivo de dados,.xls (MS EXCEL),0,Excel,Certidão de Diretrizes de Polos Geradores de Tráfego,Certidão de Diretrizes publicadas no Diário Oficial da Cidade de São Paulo,cd; certidão; certidão de diretrizes; diretrizes; pg; pgt,"Esta planilha foi criada para acompanhamento interno e subsídio a futuras análises técnicas, a partir de 2013",cadastro ou registro administrativo,bimestral,ativo,Logradouro,Ausência de informação estruturada e completa anteriores a 2013.,"alfanumérica (textos, números - p.ex. tabelas)",0,Não se aplica,Não se aplica,XLS,NÃO,Rede local,não há,link do micro GEE - Secretaria,,,,,,
